origin,destination,airline,flight_num,origin_temp,origin_desc,dest_temp,dest_desc
MEX,CUN,4O,2310,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2310,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2310,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2310,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2310,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2310,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2310,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2310,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2310,17.3,Partly Cloudy,24.5,Overcast
CUN,MEX,4O,2311,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2311,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2315,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2315,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2315,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2315,24.5,Overcast,17.3,Partly Cloudy
MEX,CUN,4O,2316,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2316,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2316,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2316,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2316,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2318,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2318,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2318,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2318,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2320,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2320,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2320,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2320,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2320,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2320,17.3,Partly Cloudy,24.5,Overcast
CUN,MEX,4O,2325,24.5,Overcast,17.3,Partly Cloudy
MEX,CUN,4O,2326,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2326,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2326,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2326,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2326,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2326,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2326,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2326,17.3,Partly Cloudy,24.5,Overcast
CUN,MEX,4O,2329,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2329,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2329,24.5,Overcast,17.3,Partly Cloudy
MEX,CUN,4O,2332,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2332,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2332,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2332,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2332,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2332,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2332,17.3,Partly Cloudy,24.5,Overcast
TIJ,MEX,4O,2401,21.1,Sunny,17.3,Partly Cloudy
MEX,TIJ,4O,2408,17.3,Partly Cloudy,21.1,Sunny
TIJ,MEX,4O,2409,21.1,Sunny,17.3,Partly Cloudy
MEX,TIJ,4O,2410,17.3,Partly Cloudy,21.1,Sunny
MEX,HMO,4O,2450,17.3,Partly Cloudy,26.1,Sunny
